time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0.305,0,0,3.26361529881869,4.87906185530445,-56.9316120214332,0,0,9.5845269026463,-1.61544655648576,0,0,0,10,0,1410,1410,1007,1410
0.31,0,0,2.97854494230898,4.69256762897213,-57.0945050297463,0,0,9.5814103530416,-1.71402268666315,0,0,0,10,0,1410,1410,1007,1410
0.315,0,0,2.69269012745244,4.50362791168695,-57.2454698747223,0,0,9.57846465636396,-1.81093778423451,0,0,0,10,0,1410,1410,1007,1410
0.32,0,0,2.40610938643534,4.31229529785432,-57.3849481968514,0,0,9.57569169153682,-1.90618591141899,0,0,0,10,0,1410,1410,1007,1410
0.325,0,0,2.11885907006662,4.11862209758096,-57.5133709763418,0,0,9.57309499464913,-1.99976302751434,0,0,0,10,0,1410,1410,1007,1410
0.33,0,0,1.83099340080085,3.9226612743432,-57.6311584931983,0,0,9.57067465557631,-2.09166787354235,0,0,0,10,0,1410,1410,1007,1410
0.335,0,0,1.54256452666982,3.72446535407865,-57.7387203110678,0,0,9.56843242152238,-2.18190082740883,0,0,0,10,0,1410,1410,1007,1410
0.34,0,0,1.25362257401094,3.52408675498904,-57.8364555664254,0,0,9.56636999596885,-2.27046418097811,0,0,0,10,0,1410,1410,1007,1410
0.345,0,0,0.964215699074482,3.3215774619889,-57.9247532180298,0,0,9.56449034919734,-2.35736176291442,0,0,0,10,0,1410,1410,1007,1410
0.35,0,0,0.674390138583946,3.11698989674937,-58.0039920644176,0,0,9.56279378721848,-2.44259975816542,0,0,0,10,0,1410,1410,1007,1410
0.355,0,0,0.384190260743619,2.91037592400778,-58.0745407784966,0,0,9.56128188313829,-2.52618566326416,0,0,0,10,0,1410,1410,1007,1410
0.36,0,0,0.093658615109356,2.70178715439137,-58.1367581712457,0,0,9.55995616696092,-2.60812853928201,0,0,0,10,0,1410,1410,1007,1410
0.365,0,0,-0.197164018599426,2.49127468357945,-58.19099341637,0,0,9.55881902797049,-2.68843870217887,0,0,0,10,0,1410,1410,1007,1410
0.37,0,0,-0.488238582675708,2.27888978249239,-58.2375861184767,0,0,9.55787100844371,-2.7671283651681,0,0,0,10,0,1410,1410,1007,1410
0.375,0,0,-0.779527693580078,2.06468311229733,-58.2768663922575,0,0,9.55711351036698,-2.84421080587741,0,0,0,10,0,1410,1410,1007,1410
0.38,0,0,-1.07099559514067,1.84870496131086,-58.3091550958002,0,0,9.55654789356026,-2.91970055645153,0,0,0,10,0,1410,1410,1007,1410
0.385,0,0,-1.36260811272431,1.63100508232369,-58.3347640255917,0,0,9.55617595465826,-2.99361319504801,0,0,0,10,0,1410,1410,1007,1410
0.39,0,0,-1.6543326083121,1.41163309749496,-58.3539960299314,0,0,9.55599849131748,-3.06596570580705,0,0,0,10,0,1410,1410,1007,1410
0.395,0,0,-1.94613793595295,1.19063802691063,-58.3671451277859,0,0,9.55601673857936,-3.13677596286359,0,0,0,10,0,1410,1410,1007,1410
0.4,0,0,-2.23799439814891,0.968068423000211,-58.3744967077335,0,0,9.55623189052763,-3.20606282114912,0,0,0,10,0,1410,1410,1007,1410
0.405,0,0,-2.52987370310374,0.743972336833512,-58.3763276893605,0,0,9.55664514292516,-3.27384603993725,0,0,0,10,0,1410,1410,1007,1410
0.41,0,0,-2.82174892277252,0.518397340736231,-58.3729066776103,0,0,9.55725756668237,-3.34014626350875,0,0,0,10,0,1410,1410,1007,1410
0.415,0,0,-3.11359445166638,0.291390466922916,-58.3644941174767,0,0,9.55807023510746,-3.40498491858929,0,0,0,10,0,1410,1410,1007,1410
0.42,0,0,-3.40538596645932,0.0629982058117942,-58.3513424553901,0,0,9.55908418199571,-3.46838417227112,0,0,0,10,0,1410,1410,1007,1410
0.425,0,0,-3.69710038633426,-0.166733370936901,-58.3336962638325,0,0,9.56029999732902,-3.53036701539736,0,0,0,10,0,1410,1410,1007,1410
0.43,0,0,-3.98871583401072,-0.397759057409969,-58.3117924333048,0,0,9.56171904172421,-3.59095677660075,0,0,0,10,0,1410,1410,1007,1410
0.435,0,0,-4.28021159788859,-0.630034077796289,-58.2858603599554,0,0,9.56334223286041,-3.6501775200923,0,0,0,10,0,1410,1410,1007,1410
0.44,0,0,-4.57156809485136,-0.863514254424617,-58.2561220668894,0,0,9.56517045055019,-3.70805384042675,0,0,0,10,0,1410,1410,1007,1410
0.445,0,0,-4.86276683367169,-1.09815570351387,-58.2227922894944,0,0,9.56720367727082,-3.76461113015782,0,0,0,10,0,1410,1410,1007,1410
0.45,0,0,-5.15379037896701,-1.33391582866844,-58.1860787025467,0,0,9.56944357822907,-3.81987455029856,0,0,0,10,0,1410,1410,1007,1410
0.455,0,0,-5.44462231662025,-1.57075231167732,-58.1461821386568,0,0,9.57189092233719,-3.87387000494293,0,0,0,10,0,1410,1410,1007,1410
0.46,0,0,-5.73524721970765,-1.80862347352433,-58.1032966675513,0,0,9.57454644245642,-3.92662374618332,0,0,0,10,0,1410,1410,1007,1410
0.465,0,0,-6.02565061488217,-2.04748776788533,-58.0576096401714,0,0,9.57740951487847,-3.97816284699685,0,0,0,10,0,1410,1410,1007,1410
0.47,0,0,-6.31581894916588,-2.2873053872388,-58.0093019491383,0,0,9.58048212259874,-4.02851356192708,0,0,0,10,0,1410,1410,1007,1410
0.475,0,0,-6.6057395585486,-2.5280366143658,-57.9585482765446,0,0,9.58376489325562,-4.0777029441828,0,0,0,10,0,1410,1410,1007,1410
0.48,0,0,-6.89540063693377,-2.76964239919136,-57.905517129738,0,0,9.58725842039041,-4.12575823774241,0,0,0,10,0,1410,1410,1007,1410
0.485,0,0,-7.18479120538609,-3.01208363242892,-57.8503708427424,0,0,9.59096147831242,-4.17270757295717,0,0,0,10,0,1410,1410,1007,1410
