time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0.075,0,0,-12.2005866331288,-12.4860506511933,67.080711366567,0,0,16.1579366400014,0.28546401806456,0,0,0,-12,0,1410,1410,2029,1410
0.08,0,0,-11.8577173761935,-12.3875189438965,70.0395476778294,0,0,16.1676329177242,0.529801567702986,0,0,0,-12,0,1410,1410,2029,1410
0.085,0,0,-11.5004614123653,-12.2784499450191,72.8362316312742,0,0,16.1771586344166,0.777988532653843,0,0,0,-12,0,1410,1410,2029,1410
0.09,0,0,-11.1296169242202,-12.1587810129186,75.4757971685,0,0,16.1865066450011,1.02916408869842,0,0,0,-12,0,1410,1410,2029,1410
0.095,0,0,-10.7459569023998,-12.0284787974982,77.9632848694249,0,0,16.1956670656858,1.28252189509831,0,0,0,-12,0,1410,1410,2029,1410
0.1,0,0,-10.3502291441814,-11.8875372626276,80.303729645246,0,0,16.2046302384431,1.53730811844624,0,0,0,-12,0,1410,1410,2029,1410
0.105,0,0,-9.94315631012663,-11.7359761313524,82.5021493209436,0,0,16.2133839963493,1.79281982122574,0,0,0,-12,0,1410,1410,2029,1410
0.11,0,0,-9.525436034762,-11.5738382495663,84.5635353219166,0,0,16.2219218945502,2.04840221480429,0,0,0,-12,0,1410,1410,2029,1410
0.115,0,0,-9.09774107893132,-11.4011885794811,86.4928439622996,0,0,16.2302349882619,2.30344750054978,0,0,0,-12,0,1410,1410,2029,1410
0.12,0,0,-8.66071952960745,-11.2181123292844,88.2949870863112,0,0,16.2383145792541,2.55739279967699,0,0,0,-12,0,1410,1410,2029,1410
0.125,0,0,-8.21499504349091,-11.0247137955329,89.9748234900724,0,0,16.2461497358,2.80971875204197,0,0,0,-12,0,1410,1410,2029,1410
