config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,input_unit,long_state_order,lat_state_order,B_long_1,B_long_2,B_long_3,B_long_4,B_lat_1,B_lat_2,B_lat_3,B_lat_4
CFG016,38,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-1.2077985619086313,0,14.629835384406123,0.7,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.5707319410989321,0.017335193406911885,0.0018982678685841696,0.14404023721959403,rad,"[u,w,q,theta]","[v,p,r,phi]",0.11996547707564244,-6.527539327748552,-77.24271072429165,0,-6.318356541363854e-13,-3.203289139725132e-8,-0.000004080682335982534,0
CFG016,39,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-1.4352456528691928,0,14.930538386956272,0.8,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.5484096810007164,0.01684306492763684,0.0019065588471167934,0.143704994089904,rad,"[u,w,q,theta]","[v,p,r,phi]",0.13585619552969982,-6.7982956105883385,-80.45683536004016,0,-2.0014961404180372e-12,-8.39626658420167e-9,-9.95565066965379e-7,0
CFG016,40,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-1.6648328628953277,0,15.253405640801418,0.9000000000000001,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.5258589630859196,0.016341202776185174,0.0019127490297748046,0.14335612469880193,rad,"[u,w,q,theta]","[v,p,r,phi]",0.15391394160487024,-7.095148352333633,-83.98007885113086,0,1.5186827802464354e-13,5.61174426138736e-8,0.000006227547986857559,0
CFG016,41,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-1.896619712919399,0,15.601147525867129,1,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.5030739910488687,0.015845292198077565,0.0019177353706356602,0.14300851793747504,rad,"[u,w,q,theta]","[v,p,r,phi]",0.1738057251465712,-7.421970454486052,-87.85834464397131,0,-6.591224752590503e-13,-3.0529389209109925e-8,-0.000003182215947056876,0
CFG016,42,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-2.1306551615748215,0,15.976896582182059,1.1,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.4800500574158034,0.015362542925280519,0.0019212758008258016,0.1426620197735984,rad,"[u,w,q,theta]","[v,p,r,phi]",0.19620182040473313,-7.783378959074208,-92.1463224303311,0,-2.7149630616853956e-12,-1.3058830387254717e-8,-0.0000012794658873894679,0
CFG016,43,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-2.367030295927459,0,16.385211938515823,1.2,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.4567782137165423,0.014888978766055192,0.001923779329172039,0.14231251459649052,rad,"[u,w,q,theta]","[v,p,r,phi]",0.2205227004598661,-8.185831125827516,-96.92058470279206,0,7.528561706182776e-13,-1.9705692171255043e-8,-0.0000018261159567534572,0
CFG016,44,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-2.6058055580368955,0,16.83115477734533,1.3,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.43325263372146966,0.014425859618892692,0.0019250679636724562,0.14193862473518035,rad,"[u,w,q,theta]","[v,p,r,phi]",0.2497633209740782,-8.636926181438788,-102.27038864839069,0,1.3266564470729217e-12,-6.127033622983894e-8,-0.0000053827706875054555,0
CFG016,45,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-2.8470439516093817,0,17.32091243416187,1.4000000000000001,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.40946725792963984,0.013995034652783638,0.0019275380583145306,0.1415922546926517,rad,"[u,w,q,theta]","[v,p,r,phi]",0.2811941236301377,-9.14623227808372,-108.31020454135059,0,-3.0074358743342476e-12,-5.4643115571641686e-8,-0.000004559183697763028,0
CFG016,46,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-3.0908462704676087,0,17.862216824121614,1.5000000000000002,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.38541222458721186,0.013565511202271386,0.0019275008886498577,0.14122183080621367,rad,"[u,w,q,theta]","[v,p,r,phi]",0.31649801462728944,-9.726050703548552,-115.18510769982414,0,1.0305815694637768e-12,3.1533205305017894e-9,2.488967296563172e-7,0
CFG016,47,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-3.337288594259182,0,18.46468957863123,1.6,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.36108020308199484,0.013155869712931095,0.0019260634093576112,0.14086152155830423,rad,"[u,w,q,theta]","[v,p,r,phi]",0.35556565162895726,-10.392258367947475,-123.08409725878985,0,-2.0320361645173333e-12,3.7182224488452594e-8,0.0000028179027463812247,0
CFG016,48,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-3.586447784153918,0,19.140589345315767,1.7000000000000002,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.3364638152054362,0.012762816328389884,0.0019234647209325493,0.1404832182788076,rad,"[u,w,q,theta]","[v,p,r,phi]",0.40723614426656485,-11.165824115382037,-132.25183877737408,0,-1.5148452137576748e-12,7.360186178850772e-8,0.0000053198306367020514,0
CFG016,49,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-3.838441605734654,0,19.905975207836082,1.8,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.31155156771091636,0.012391379598211691,0.001920209608839249,0.14010717960610053,rad,"[u,w,q,theta]","[v,p,r,phi]",0.4612349946366124,-12.07520940885282,-143.03103554044708,0,-3.720901148533908e-12,3.979877485582181e-8,0.000002750533805999284,0
CFG016,50,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-4.09335064217869,0,20.78208612658195,1.9000000000000001,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.28633577407680955,0.012043374062257903,0.0019160533322924625,0.13972014556438417,rad,"[u,w,q,theta]","[v,p,r,phi]",0.5251177353285502,-13.159702657713092,-155.88469137593572,0,-5.672471684028237e-13,-1.4073766268870966e-8,-9.237309658150168e-7,0
CFG016,51,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-4.351302902763224,0,21.798116205009627,2,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.2608039754266481,0.011721595535236587,0.0019126954589248936,0.13931500501380176,rad,"[u,w,q,theta]","[v,p,r,phi]",0.6230831913167024,-14.475622758226226,-171.4674186078161,0,1.0834114610837866e-13,-1.13178119190364e-9,-6.811389963703925e-8,0
CFG016,52,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-4.6123927817423676,0,22.99504263453499,2.1,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.23494716689291842,0.011434354524147176,0.0019087790372505407,0.1389276724217031,rad,"[u,w,q,theta]","[v,p,r,phi]",0.7094760400808577,-16.106085365678048,-190.79456959790556,0,-1.422558827261757e-12,-3.347049539166218e-8,-0.0000020436551215794812,0
CFG016,53,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-4.876754583069464,0,24.433038036651936,2.2,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.20875234002949286,0.01116950729834351,0.001903158525492437,0.13853075198411482,rad,"[u,w,q,theta]","[v,p,r,phi]",0.8299082816917681,-18.179774377834487,-215.36746291653097,0,2.018741423890222e-13,3.348794386585867e-8,0.0000019682604159766446,0
CFG016,54,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-5.144523496673008,0,26.204427128562127,2.3,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.18220644761313431,0.010926359176022943,0.0018961737944577636,0.13813603642132644,rad,"[u,w,q,theta]","[v,p,r,phi]",1.005758860758978,-20.90661232946357,-247.6644569077116,0,-5.763450421398536e-13,4.78200511079621e-9,2.774483174864718e-7,0
CFG016,55,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-5.41582345282986,0,28.459660064165806,2.4,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.15529764338673374,0.010686424309503392,0.001883667427255019,0.1377461726207574,rad,"[u,w,q,theta]","[v,p,r,phi]",1.2219302325018317,-24.653715111409003,-292.0626854003007,0,-5.582913444846529e-12,1.561970502187435e-8,8.44629115225498e-7,0
CFG016,56,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-5.690805436928634,0,31.465273551486682,2.5,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.12801139706795867,0.010447256487642897,0.0018669226592406597,0.13736170664383612,rad,"[u,w,q,theta]","[v,p,r,phi]",1.5651425181054273,-30.12738497718609,-356.8905789926856,0,6.0764370218660685e-12,6.261657165696919e-8,0.0000032842933089784593,0
CFG016,57,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T7-VLM2-Elev(g1.0)-11.9kg-x109.9mm-z14.2mm,-5.969646472187626,0,35.75163343314701,2.6,1.225,1.5705518175924542,0.284701945718181,5.525419388778789,11.925999999999998,0.10992231757937915,-1.546328403528402e-17,0.014190650827474498,0.10033060349994151,0.010267689081061555,0.001857869646077264,0.13697284111508917,rad,"[u,w,q,theta]","[v,p,r,phi]",2.0990239303497327,-38.88225238002281,-460.58850135439445,0,-9.151092150796506e-12,1.108156757303923e-7,0.00000562330020302103,0
