source_file,nominal_supply_V,airspeed_min_mps,airspeed_max_mps,airspeed_mid_mps,plateau_samples,throttle_pct,loaded_voltage_V,current_A,power_W,thrust_N,effective_voltage_V,propulsive_efficiency_TV_over_P,fit_role
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,612,64.0,21.3110008239746,6.76559829711914,143.997528076172,9.590903699999998,13.639040527343743,0.5128557377105443,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,652,65.5999984741211,21.2670001983643,7.17578458786011,152.39892578125,10.189109349999999,13.951151805618311,0.5148077100465537,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,612,43.0,23.1879997253418,3.02203297615051,69.9910736083984,4.064856425,9.970839881896973,0.4471912325223186,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,516,44.0,23.1679992675781,3.23701000213623,74.9330749511719,4.4227991499999995,10.193919677734364,0.4544795936532882,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,515,45.0,23.1520004272461,3.40256690979004,78.7013473510742,4.77583855,10.418400192260744,0.46725955873356556,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,499,46.0,23.1350002288818,3.57553720474243,82.5931777954102,5.12887795,10.642100105285628,0.4781552335088218,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,980,47.0,23.1159992218018,3.7633330821991,86.9174270629883,5.42307745,10.864519634246847,0.4804295039099416,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,488,48.0,23.0960006713867,3.95607113838196,91.3034515380859,5.8055368,11.086080322265616,0.4896050763355091,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,460,49.0,23.0709991455078,4.22046804428101,97.2338485717773,6.22722275,11.304789581298822,0.49313706985077277,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,503,50.2000007629395,23.0459995269775,4.45274257659912,102.484725952148,6.6489087,11.569091938369738,0.4995534360301127,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,465,51.0,23.0279998779297,4.6257119178772,106.438323974609,6.7862018,11.744279937744148,0.49092988229000295,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,491,52.0,23.0100002288818,4.82586288452148,110.947906494141,7.16866115,11.965200119018537,0.49751899426705243,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,494,53.0,22.9950008392334,4.96918153762817,114.098426818848,7.46286065,12.1873504447937,0.5036355768185533,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,455,54.0,22.9720001220703,5.21875238418579,119.781723022461,7.8747399499999995,12.404880065917961,0.5062166087194276,thrust_fit
X2820电压23.5风速7.4-8.0.xlsx,23.5,7.4,8.0,7.7,496,55.2999992370605,22.9400005340576,5.51033020019531,126.329879760742,8.306232549999999,12.685820120315528,0.5062776182177247,thrust_fit
