time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0.11,-0.0452757452943364,-0.617140939336193,4.7902135510562,-0.26123343574434,-0.238095832937324,-0.345468365569191,-6.1560886932394,10.002494476604,5.05144698680054,0.62281280229721,0,0,-2.11227166898883,22,1410,1410,1516,2029
0.115,-0.0511506305174074,-0.679415489512633,4.78895339124261,-0.270427202265375,-0.255426913179797,-0.377015975892282,-6.41901632548538,10.0027264359779,5.05938059350798,0.665624705007814,0,0,-2.11221965537524,22,1410,1410,1516,2029
0.12,-0.0574495613790265,-0.743133659624067,4.78760143821612,-0.279448454565479,-0.272975365069499,-0.409878105240196,-6.68016763671896,10.002966458672,5.0670498927816,0.709601654997526,0,0,-2.11217456592314,22,1410,1410,1516,2029
0.125,-0.0641785818033066,-0.808174075729576,4.78615616416533,-0.288304352913083,-0.290708695409407,-0.444045733614662,-6.9395163257354,10.0032143159881,5.07446051707842,0.754730826365531,0,0,-2.11213547887359,22,1410,1410,1516,2029
0.13,-0.0713431305972087,-0.874422985132297,4.78461617073216,-0.297001859176779,-0.308595840070903,-0.479509709587197,-7.19703748842556,10.0034700193833,5.08161802990893,0.800999290663073,0,0,-2.11210159517418,22,1410,1410,1516,2029
0.135,-0.0789480789250783,-0.941773760857142,4.78298018230811,-0.305547913478537,-0.326607117268695,-0.516260757128608,-7.45270754620253,10.0037334636393,5.08852809578665,0.848394048764885,0,0,-2.11207222214399,22,1410,1410,1516,2029
0.14,-0.0869977653691203,-1.01012643829592,4.78124703959399,-0.313949374563451,-0.344714188250452,-0.554289482074769,-7.70650417274328,10.0040045456652,5.09519641415744,0.89690202896102,0,0,-2.11204675931328,22,1410,1410,1516,2029
0.145,-0.0954960287339942,-1.07938728224159,4.77941569340489,-0.32221308999472,-0.362890020600152,-0.593586378251063,-7.95840622488423,10.0042830292753,5.10162878339961,0.946510105283189,0,0,-2.11202468614806,22,1410,1410,1516,2029
0.15,-0.104446238743287,-1.14946838290571,4.77748519870474,-0.33034568434574,-0.381108848123611,-0.634141833276317,-8.20839368512624,10.0045689504717,5.10783088305048,0.997205066561016,0,0,-2.11200555140896,22,1410,1410,1516,2029
0.155,-0.11385132477425,-1.22028727869395,4.77545470889404,-0.338353761829152,-0.399346131975967,-0.675946134115161,-8.45644760799044,10.0048622118318,5.11380847072319,1.04897365789489,0,0,-2.11198896392652,22,1410,1410,1516,2029
0.16,-0.123713802752669,-1.29176660325536,4.7733234703042,-0.346243838781167,-0.417578528721253,-0.718989472347815,-8.70255006272192,10.005162717589,5.11956730908536,1.10180257381303,0,0,-2.11197458460458,22,1410,1410,1516,2029
0.165,-0.134035800328157,-1.36383375565966,4.77109081688694,-0.354022422824984,-0.435783860039223,-0.763261949174053,-8.94668407909446,10.0054702230438,5.12511323971193,1.15567847989884,0,0,-2.11196211948817,22,1410,1410,1516,2029
