"TimeUS","DesRoll","Roll","DesPitch","Pitch","DesYaw","Yaw","AEKF","ap_time_s"
"5599978","14.049999","6.5229864","0.57","0.8291487","0","5.289925","0","5.599978"
"5639978","14.049999","6.895382","0.57","0.78570056","0","5.087016","0","5.639978"
"5679978","14.049999","7.2397046","0.57","0.73933387","0","4.937591","0","5.679978"
"5719978","14.049999","7.563519","0.57","0.6938177","0","4.85189","0","5.719978"
"5759978","14.049999","7.8655095","0.57","0.6507614","0","4.835266","0","5.759978"
"5799978","14.049999","8.152808","0.57","0.6122778","0","4.8913503","0","5.799978"
"5839978","14.049999","8.438619","0.57","0.5815363","0","5.0214534","0","5.839978"
"5879978","14.049999","8.725793","0.57","0.56009626","0","5.2216988","0","5.879978"
"5919978","14.049999","9.016946","0.57","0.54838526","0","5.4886055","0","5.919978"
"5959978","14.049999","9.313636","0.57","0.5454826","0","5.8150377","0","5.959978"
"5999978","14.049999","9.605841","0.57","0.54902357","0","6.191411","0","5.999978"
"6039978","14.049999","9.901619","0.57","0.55766547","0","6.608594","0","6.039978"
"6079978","14.049999","10.197544","0.57","0.5693182","0","7.053933","0","6.079978"
"6119978","14.049999","10.48979","0.57","0.5819007","0","7.5176907","0","6.119978"
"6159978","14.049999","10.775941","0.57","0.5939096","0","7.9881406","0","6.159978"
"6199978","14.049999","11.048313","0.57","0.60554016","0","8.454502","0","6.199978"
"6239978","14.049999","11.3035","0.57","0.61634517","0","8.908764","0","6.239978"
"6279978","14.049999","11.542782","0.57","0.62554115","0","9.341903","0","6.279978"
"6319978","14.049999","11.763383","0.57","0.63327014","0","9.749941","0","6.319978"
"6359978","14.049999","11.962083","0.57","0.6404375","0","10.12819","0","6.359978"
"6399978","14.049999","12.137967","0.57","0.64893866","0","10.474344","0","6.399978"
"6439978","14.049999","12.269958","0.57","0.6635524","0","10.788975","0","6.439978"
"6479978","14.049999","12.379902","0.57","0.6817215","0","11.072893","0","6.479978"
"6519978","14.049999","12.468985","0.57","0.7037638","0","11.330282","0","6.519978"
"6559978","14.049999","12.539724","0.52","0.7299619","0","11.564484","0","6.559978"
"6599978","14.049999","12.594979","0.56","0.7589971","0","11.781474","0","6.599978"
"6639978","14.049999","12.62557","0.56","0.78907704","0","11.98745","0","6.639978"
"6679978","14.049999","12.634515","0.56","0.81847495","0","12.186348","0","6.679978"
"6719978","14.049999","12.636461","0.56","0.8455653","0","12.387409","0","6.719978"
"6759978","14.049999","12.63518","0.56","0.8688887","0","12.594721","0","6.759978"
"6799978","14.049999","12.632889","0.56","0.88690776","0","12.814589","0","6.799978"
"6839978","14.049999","12.633974","0.56","0.89760923","0","13.052847","0","6.839978"
"6879978","14.049999","12.63369","0.56","0.8991616","0","13.31017","0","6.879978"
"6919978","14.049999","12.639281","0.56","0.8924326","0","13.592434","0","6.919978"
"6959978","14.049999","12.651845","0.62","0.87695384","0","13.900511","0","6.959978"
"6999978","14.049999","12.673985","0.62","0.85405225","0","14.234753","0","6.999978"
"7039978","14.049999","12.706815","0.62","0.8259862","0","14.596439","0","7.039978"
"7079978","14.049999","12.750596","0.62","0.7956396","0","14.981713","0","7.079978"
"7119978","14.049999","12.804076","0.62","0.76554704","0","15.392109","0","7.119978"
"7159978","14.049999","12.862085","0.58","0.7385177","0","15.82294","0","7.159978"
