"TimeUS","Name","Value","Default","ap_time_s"
"3059985","RLL_RATE_FF","0.3","0.3","3.059985"
"3059985","RLL_RATE_IMAX","0.666","0.666","3.059985"
"3059985","RLL_RATE_FLTT","3","3","3.059985"
"3059985","RLL_RATE_FLTE","0","0","3.059985"
"3059985","RLL_RATE_FLTD","12","12","3.059985"
"3059985","RLL_RATE_SMAX","150","150","3.059985"
"3059985","RLL_RATE_PDMX","0","0","3.059985"
"3059985","RLL_RATE_D_FF","0","0","3.059985"
"3059985","RLL_RATE_NTF","0","0","3.059985"
"3059985","RLL_RATE_NEF","0","0","3.059985"
"3059985","PTCH2SRV_TCONST","0.4","0.4","3.059985"
"3059985","PTCH2SRV_RMAX_UP","0","0","3.059985"
"3059985","PTCH2SRV_RMAX_DN","0","0","3.059985"
"3059985","PTCH2SRV_RLL","1","1","3.059985"
"3059985","PTCH_RATE_P","0.3421625","0.3421625","3.059985"
"3059985","PTCH_RATE_I","0.59975","0.59975","3.059985"
"3059985","PTCH_RATE_D","0.0240025","0.0240025","3.059985"
"3059985","PTCH_RATE_FF","0.795","0.795","3.059985"
"3059985","PTCH_RATE_IMAX","0.666","0.666","3.059985"
"3059985","PTCH_RATE_FLTT","3","3","3.059985"
"3059985","PTCH_RATE_FLTE","0","0","3.059985"
"3059985","PTCH_RATE_FLTD","12","12","3.059985"
"3059985","PTCH_RATE_SMAX","150","150","3.059985"
"3059985","PTCH_RATE_PDMX","0","0","3.059985"
"3059985","PTCH_RATE_D_FF","0","0","3.059985"
"3059985","PTCH_RATE_NTF","0","0","3.059985"
"3059985","PTCH_RATE_NEF","0","0","3.059985"
"3059985","YAW2SRV_SLIP","4","4","3.059985"
"3059985","YAW2SRV_INT","0.0531","0.0531","3.059985"
"3059985","YAW2SRV_DAMP","1.97","1.97","3.059985"
"3059985","YAW2SRV_RLL","0.9197","0.9197","3.059985"
"3059985","YAW2SRV_IMAX","1500","1500","3.059985"
"3059985","YAW_RATE_ENABLE","0","0","3.059985"
