"TimeUS","Tar","Act","Err","P","I","D","FF","DFF","Dmod","SRate","Flags","ap_time_s"
"13919978","4.072093","4.6128764","-0.0066869073","-0.13109323","-4.483088","0.00022735451","2.8992755","-0","1","2.4160843","0","13.919978"
"13959978","4.0436225","4.573514","-0.0066369995","-0.13011482","-4.4922433","0.0020489965","2.8765535","-0","1","2.3204074","0","13.959978"
"13999978","4.022952","4.529478","-0.0064708292","-0.12685715","-4.501234","0.006537654","2.8541224","-0","1","2.2285194","0","13.999978"
"14039978","3.9698086","4.480354","-0.0064689144","-0.12681961","-4.510056","-0.0014588165","2.826559","-0","1","2.1402702","0","14.039978"
"14079978","4.0671587","4.4264226","-0.0056204796","-0.1101865","-4.51822","0.029609472","2.8321316","0","1","2.0555158","0","14.079978"
"14119978","4.064896","4.368732","-0.004513923","-0.08849305","-4.52479","0.036179952","2.8483176","0","1","1.9741174","0","14.119978"
"14159978","4.037433","4.3072276","-0.003739927","-0.07331927","-4.5302334","0.029463576","2.8475947","0","1","1.8959424","0","14.159978"
"14199978","4.015452","4.2433476","-0.0029327907","-0.057495795","-4.534516","0.027082715","2.8439538","-0","1","1.8208632","0","14.199978"
"14239978","4.012225","4.179673","-0.0023035593","-0.04516005","-4.537854","0.020895245","2.8362005","-0","1","1.748757","0","14.239978"
"14279978","4.083952","4.1180024","-0.0011895858","-0.023321193","-4.5399647","0.038880046","2.8497112","0","1","1.6795063","0","14.279978"
"14319978","4.0806646","4.0595617","-6.0413033E-05","-0.0011843652","-4.540411","0.037951384","2.8662846","0","1","1.612998","0","14.319978"
"14359978","4.052247","4.005931","0.00069256127","0.013577294","-4.539693","0.026889168","2.8689837","-0","1","1.5491234","0","14.359978"
"14399978","4.0601444","3.9596388","0.0013329126","0.026131038","-4.538085","0.022945976","2.869041","0","1","1.4877782","0","14.399978"
"14439978","4.0332437","3.9213762","0.001509212","0.029587293","-4.535998","0.0060999994","2.8580866","0","1","1.4288622","0","14.439978"
"14479978","4.1070347","3.8910847","0.002228886","0.043696117","-4.533269","0.024936073","2.8733714","0","1","1.3722794","0","14.479978"
"14519978","4.081215","3.8677943","0.0028162412","0.055210903","-4.529539","0.018763067","2.8868616","0","1","1.3179371","0","14.519978"
"14559978","4.0804305","3.8497047","0.0030704066","0.06019368","-4.525437","0.011441634","2.8899934","0","1","1.2657468","0","14.559978"
"14599978","3.9414957","3.834971","0.002396416","0.04698045","-4.5219727","-0.01544663","2.845139","-0","1","1.2456492","0","14.599978"
"14639978","3.9153018","3.8236463","0.0017786846","0.034870163","-4.5192184","-0.023826433","2.8138824","-0","1","1.2533727","0","14.639978"
"14679978","4.014081","3.8147686","0.0023937747","0.046928674","-4.516072","0.011556106","2.8388484","0","1","1.2578102","0","14.679978"
"14719978","4.0131054","3.8054","0.0027073435","0.05307602","-4.5124507","0.010628066","2.8481266","0","1","1.2593255","0","14.719978"
"14759978","4.0121393","3.7920375","0.0029106587","0.057061907","-4.508567","0.009285649","2.8524897","0","1","1.2380337","0","14.759978"
"14799978","4.0242257","3.7728515","0.0033100806","0.06489237","-4.5041738","0.013734791","2.8590956","0","1","1.2080468","0","14.799978"
"14839978","3.9736195","3.7476802","0.0031655207","0.06205834","-4.4997015","-0.0045994776","2.8427162","0","1","1.1792474","0","14.839978"
"14879978","3.999014","3.7170267","0.003781639","0.07413701","-4.4947114","0.016951358","2.8519623","0","1","1.1515884","0","14.879978"
"14919978","4.0000362","3.6820142","0.004379265","0.08585315","-4.488898","0.019979518","2.857152","0","1","1.1154091","0","14.919978"
"14959978","4.0013547","3.6444445","0.0048948675","0.095961265","-4.4823976","0.019915292","2.8600798","0","1","1.0712389","0","14.959978"
"14999978","4.141621","3.6070478","0.0064041056","0.12554906","-4.474082","0.04564704","2.909545","0","1","1.0288179","0","14.999978"
"15039978","4.017477","3.5710692","0.006370779","0.12489572","-4.465235","0.0034551437","2.8905766","0","1","0.9880767","0","15.039978"
"15079978","4.0150495","3.5376837","0.006844245","0.13417776","-4.4559817","0.013935577","2.890389","-0","1","0.9489489","0","15.079978"
"15119978","4.0767937","3.5083678","0.0074603558","0.14625628","-4.446038","0.023610232","2.9003117","0","1","0.9113706","0","15.119978"
"15159978","4.001342","3.4828572","0.00771885","0.15132393","-4.4354773","0.009787283","2.8985384","-0","1","0.8752804","0","15.159978"
"15199978","3.7563765","3.4585795","0.0064069666","0.12560515","-4.426237","-0.035741266","2.8150997","-0","1","0.8719164","0","15.199978"
"15239978","3.608049","3.4314256","0.004713863","0.09241277","-4.4190598","-0.058859944","2.7196681","-0","1","0.89738333","0","15.239978"
"15279978","3.6161754","3.396881","0.0044193603","0.086639196","-4.4128456","-0.019252947","2.679922","-0","1","0.9193915","0","15.279978"
"15319978","3.5225322","3.3492706","0.003974803","0.07792389","-4.4072585","-0.014885176","2.623208","-0","1","0.93827","0","15.319978"
"15359978","3.3134775","3.2833304","0.002795484","0.054803967","-4.4031587","-0.031095358","2.5204935","-0","1","0.9543198","0","15.359978"
"15399978","3.4001393","3.196001","0.0032246113","0.063216776","-4.399122","0.01642844","2.4786105","-0","1","0.96781605","0","15.399978"
"15439978","3.3995357","3.0862863","0.004469052","0.087613374","-4.393407","0.03858048","2.4668834","0","1","1.0048753","0","15.439978"
"15479978","3.319559","2.9556801","0.0058717243","0.115112014","-4.385869","0.04855064","2.4417994","-0","1","1.0390291","0","15.479978"
"15519978","3.3598342","2.809105","0.007994201","0.15672204","-4.3756433","0.07027324","2.4409673","0","1","1.0699247","0","15.519978"
"15559978","3.5189207","2.654961","0.011341833","0.22235057","-4.361168","0.1066687","2.4974046","0","1","1.1108705","0","15.559978"
"15599978","3.4240105","2.5038118","0.013855092","0.27162167","-4.342772","0.08184448","2.512421","-0","1","1.160579","0","15.599978"
"15639978","3.4129128","2.365678","0.015430819","0.30251294","-4.321986","0.0543461","2.495545","0","1","1.2043331","0","15.639978"
"15679978","3.4642005","2.250407","0.0176274","0.34557575","-4.298394","0.067890786","2.5198643","0","1","1.242681","0","15.679978"
"15719978","3.276105","2.1643302","0.01819751","0.35675249","-4.273325","0.018168157","2.485063","-0","1","1.2761251","0","15.719978"
"15759978","3.1468506","2.110565","0.017441824","0.34193763","-4.249056","-0.020246595","2.4099743","-0","1","1.3063856","0","15.759978"
"15799978","3.1267803","2.088279","0.016878203","0.33088815","-4.2255583","-0.023282377","2.3657932","-0","1","1.3350466","0","15.799978"
"15839978","2.9615307","2.0930412","0.014917202","0.29244375","-4.20424","-0.06548443","2.2777865","-0","1","1.3614606","0","15.839978"
"15879978","2.6520324","2.1173928","0.011753812","0.23042719","-4.18698","-0.10251344","2.1406262","-0","1","1.4122001","0","15.879978"
"15919978","2.5978546","2.1513116","0.009374477","0.18378161","-4.1732273","-0.08687109","2.0489874","-0","1","1.462853","0","15.919978"
"15959978","2.448763","2.1828303","0.0067567676","0.13246281","-4.16308","-0.088063724","1.9476111","-0","1","1.5063406","0","15.959978"
"15999978","2.179861","2.200521","0.003451135","0.06765766","-4.157294","-0.10621683","1.7990643","-0","1","1.543351","0","15.999978"
"16039978","2.165593","2.1953206","0.0015634894","0.030651376","-4.1544433","-0.07338507","1.7110381","-0","1","1.5745138","0","16.039978"
"16079978","2.1060858","2.159605","0.00081452355","0.015968299","-4.1531324","-0.030927012","1.6480037","-0","1","1.6004039","0","16.079978"
"16119978","1.9260713","2.08867","-9.204447E-05","-0.0018044827","-4.1530585","-0.027106088","1.5510731","-0","1","1.6215467","0","16.119978"
"16159978","2.0501122","1.9817767","0.0012370776","0.024252247","-4.1519213","0.03798516","1.5394009","-0","1","1.6384221","0","16.159978"
"16199978","2.102654","1.8405515","0.0036216173","0.070999876","-4.147839","0.07776009","1.5497111","0","1","1.6550888","0","16.199978"
"16239978","2.0330043","1.6700144","0.005714042","0.11202074","-4.1407604","0.07490345","1.5277016","-0","1","1.6687347","0","16.239978"
"16279978","2.2153192","1.4794377","0.009487625","0.18599983","-4.1292505","0.12950435","1.5673364","0","1","1.6782724","0","16.279978"
"16319978","2.298703","1.2800366","0.013928207","0.27305505","-4.1116548","0.14981976","1.6326066","0","1","1.7262621","0","16.319978"
"16359978","2.282273","1.0821273","0.017973099","0.352353","-4.0881777","0.13490295","1.6797584","0","1","1.7676871","0","16.359978"
"16399978","2.3653975","0.8965989","0.021629184","0.4240286","-4.0597296","0.12810177","1.7169583","0","1","1.803173","0","16.399978"
"16439978","2.5721507","0.73337823","0.026092827","0.51153594","-4.0253468","0.14756706","1.8071179","0","1","1.833292","0","16.439978"
"16479978","2.5022268","0.5999521","0.029260296","0.5736324","-3.9859462","0.105288245","1.8588532","0","1","1.8585674","0","16.479978"
"16519978","2.5304606","0.502542","0.0312551","0.61273956","-3.9435952","0.07168193","1.881351","0","1","1.8794769","0","16.519978"
"16559978","2.556831","0.44488958","0.03264525","0.6399927","-3.8991299","0.049012598","1.9026248","0","1","1.8964574","0","16.559978"
"16599978","2.6568115","0.42588478","0.03395828","0.66573393","-3.8527985","0.04193458","1.951296","0","1","1.9099076","0","16.599978"
"16639978","2.5045938","0.44148046","0.033231806","0.6514918","-3.8068223","-0.016091963","1.9227527","-0","1","1.9169273","0","16.639978"
"16679978","2.4760537","0.48602712","0.032159798","0.63047564","-3.7621875","-0.035805143","1.905298","-0","1","1.901264","0","16.679978"
"16719978","2.4466207","0.55276626","0.03068884","0.6016383","-3.7194507","-0.049993373","1.8856046","-0","1","1.825974","0","16.719978"
"16759978","2.416706","0.6315574","0.028950019","0.56754965","-3.6790838","-0.057391394","1.8605263","-0","1","1.7536652","0","16.759978"
"16799978","2.386854","0.7118068","0.02720914","0.5334207","-3.6411114","-0.058542904","1.8384525","-0","1","1.6842201","0","16.799978"
"16839978","2.3566504","0.78501576","0.025552396","0.50094104","-3.6054487","-0.056157693","1.8122431","-0","1","1.6175251","0","16.839978"
"16879978","2.2268746","0.84443134","0.023879215","0.46813926","-3.5718899","-0.06314969","1.7781363","-0","1","1.5534711","0","16.879978"
"16919978","2.3226635","0.8863587","0.02315377","0.45391732","-3.5398402","-0.030112177","1.7756841","-0","1","1.5563208","0","16.919978"
"16959978","2.319055","0.90913624","0.022744123","0.44588637","-3.5084798","-0.015095194","1.7728306","0","1","1.5400043","0","16.959978"
"16999978","2.2162108","0.91226166","0.02231691","0.43751112","-3.4774842","-0.0210319","1.7549765","-0","1","1.5018032","0","16.999978"
"17039978","2.3387718","0.89587563","0.022557918","0.44223592","-3.4467463","0.010348028","1.7521589","0","1","1.4651146","0","17.039978"
"17079978","2.3868992","0.8627","0.023830626","0.4671867","-3.4144518","0.039314713","1.7867196","0","1","1.4298791","0","17.079978"
"17119978","2.28551","0.8164032","0.024594475","0.48216155","-3.3807452","0.022417793","1.7871984","-0","1","1.3960388","0","17.119978"
"17159978","2.334547","0.7613131","0.025490426","0.49972618","-3.346084","0.031939097","1.7859417","0","1","1.3635387","0","17.159978"
"17199978","2.5090108","0.70245725","0.027418423","0.5375235","-3.309275","0.06862561","1.8314246","0","1","1.3323255","0","17.199978"
"17239978","2.3837147","0.6455787","0.028784089","0.5642967","-3.2699265","0.041241873","1.8482995","-0","1","1.3419039","0","17.239978"
"17279978","2.4086525","0.5954375","0.02974293","0.58309424","-3.2293544","0.03358924","1.8545004","0","1","1.3489989","0","17.279978"
"17319978","2.433739","0.555797","0.030661397","0.6011003","-3.1874933","0.030743917","1.8669237","0","1","1.3538736","0","17.319978"
"17359978","2.4589033","0.5299676","0.031791367","0.62325275","-3.1439536","0.029240131","1.8978915","0","1","1.356768","0","17.359978"
"17399978","2.4591513","0.5199845","0.032018136","0.6276985","-3.0999956","0.0102593815","1.9007728","0","1","1.3579007","0","17.399978"
"17439978","2.459358","0.5258401","0.03197643","0.6268809","-3.0560129","-0.00016105085","1.8987035","0","1","1.347903","0","17.439978"
"17479978","2.334505","0.546258","0.031203616","0.6117302","-3.0126336","-0.030452274","1.8785732","-0","1","1.3300248","0","17.479978"
"17519978","2.434574","0.57894784","0.03080482","0.60391206","-2.9701312","-0.01722292","1.8854113","0","1","1.3463564","0","17.519978"
"17559978","2.409495","0.6208273","0.030101806","0.5901298","-2.9284685","-0.024711333","1.883485","-0","1","1.3592992","0","17.559978"
"17599978","2.2592788","0.66755646","0.028148387","0.55183405","-2.8891208","-0.05988971","1.8290485","-0","1","1.372548","0","17.599978"
"17639978","2.2338388","0.7143868","0.026530657","0.52011937","-2.8520942","-0.05642959","1.7874177","-0","1","1.3860248","0","17.639978"
"17679978","2.3332238","0.7569997","0.025864774","0.50706506","-2.8165038","-0.021339418","1.7899251","0","1","1.395955","0","17.679978"
"17719978","2.1824427","0.79027474","0.024547206","0.48123488","-2.7823215","-0.041089512","1.7549511","-0","1","1.4027151","0","17.719978"
"17759978","2.1815515","0.81082183","0.023724865","0.46511328","-2.749488","-0.028151644","1.7320646","-0","1","1.4066486","0","17.759978"
"17799978","2.0556452","0.81725603","0.022804813","0.44707617","-2.7176592","-0.037109062","1.6945871","-0","1","1.408068","0","17.799978"
"17839978","2.2046747","0.8091232","0.022836804","0.44770336","-2.686526","0.0039037573","1.687886","0","1","1.3912468","0","17.839978"
"17879978","2.228743","0.78651816","0.023824785","0.46707216","-2.6541514","0.0304009","1.7155554","0","1","1.3655529","0","17.879978"
"17919978","2.1278908","0.75132924","0.024353508","0.4774375","-2.6206915","0.014077242","1.7121842","-0","1","1.3260282","0","17.919978"
"17959978","2.1521645","0.70734155","0.024858048","0.48732874","-2.5867798","0.019830002","1.6996646","-0","1","1.2735176","0","17.959978"
"17999978","2.2765756","0.6599395","0.02623352","0.51429415","-2.5513985","0.05032432","1.7254539","0","1","1.2230864","0","17.999978"
"18039978","2.1510942","0.61296433","0.026741052","0.52424407","-2.5148282","0.023093686","1.7085961","-0","1","1.2358624","0","18.039978"
"18079978","2.1757343","0.5692567","0.02765143","0.5420915","-2.477118","0.02943973","1.7156137","0","1","1.2456157","0","18.079978"
"18119978","2.075478","0.5311672","0.028001674","0.5489579","-2.4385202","0.0065175164","1.7014626","-0","1","1.2526635","0","18.119978"
"18159978","2.075303","0.5003785","0.02797081","0.5483528","-2.400092","0.0011905062","1.6739988","-0","1","1.2572948","0","18.159978"
"18199978","2.2251914","0.47771722","0.029315583","0.5747164","-2.3601944","0.03673802","1.7174071","0","1","1.2597727","0","18.199978"
"18239978","2.1001236","0.46327192","0.029056799","0.569643","-2.3201888","-0.00082370406","1.6901554","-0","1","1.2603369","0","18.239978"
