"TimeUS","Tar","Act","Err","P","I","D","FF","DFF","Dmod","SRate","Flags","ap_time_s"
"4479978","-0.03929273","0.0048809526","-0.0008454614","-0.0040714964","0","2.7355197E-06","-0.012343388","-0","1","0.006226814","9","4.479978"
"4519978","-0.03929273","0.004550388","-0.00083918497","-0.0040412713","0","1.1877757E-05","-0.01234423","-0","1","0.0059802323","9","4.519978"
"4559978","-0.03929273","0.0039859205","-0.00082858437","-0.003990222","0","2.084048E-05","-0.012344585","-0","1","0.0057835295","9","4.559978"
"4599978","-0.03929273","0.0033297313","-0.00081610976","-0.0039301477","0","2.4857765E-05","-0.012346083","-0","1","0.0056921435","9","4.599978"
"4639978","-0.03929273","0.0028689972","-0.0008069405","-0.0038859914","0","1.88105E-05","-0.012350949","0","1","0.0054919096","9","4.639978"
"4679978","-0.03929273","0.002835885","-0.0008059423","-0.0038811844","0","3.483897E-06","-0.0123449555","0","1","0.005299605","9","4.679978"
"4719978","-0.03929273","0.0027697575","-0.00080448535","-0.0038741683","0","3.7880952E-06","-0.012341794","0","1","0.005114916","9","4.719978"
"4759978","-0.03929273","0.0028668386","-0.00080458645","-0.003874655","0","-1.114434E-06","-0.012341568","0","1","0.0049375403","9","4.759978"
"4799978","-0.03929273","0.0031222908","-0.0008086422","-0.0038941863","0","-7.628334E-06","-0.012328256","0","1","0.004767189","9","4.799978"
"4839978","-0.03929273","0.0033045132","-0.00081075745","-0.003904373","0","-3.3812173E-06","-0.012330828","0","1","0.004603583","9","4.839978"
"4879978","-0.03929273","0.003232656","-0.00080827856","-0.0038924352","0","4.5491443E-06","-0.012312444","0","1","0.004446456","9","4.879978"
"4919978","-0.03929273","0.0030491003","-0.000804207","-0.0038728276","0","7.812132E-06","-0.012302749","0","1","0.004282837","9","4.919978"
"4959978","-0.03929273","0.0029332691","-0.00080038916","-0.0038544422","0","6.4142246E-06","-0.012298866","0","1","0.004113237","9","4.959978"
"4999978","-0.03929273","0.0030366913","-0.0008015856","-0.003860204","0","-1.3927205E-06","-0.012286319","0","1","0.003950353","9","4.999978"
"5039978","27.56385","0.0033298868","0.24576594","1.1835375","0","0.39700368","4.0616975","0","1","0.6245018","9","5.039978"
"5079978","27.544203","0.0066382713","0.375496","1.8082799","0","0.2719534","6.20619","0","1","1.7922726","9","5.079978"
"5119978","27.34774","0.07634018","0.4413204","2.125271","0","0.1480224","7.315525","0","1","2.8684802","9","5.119978"
"5159978","26.817287","0.37076914","0.46694955","2.2486937","0","0.061677318","7.8332005","0","1","3.8603036","9","5.159978"
"5199978","25.972494","1.0325207","0.46388382","2.23393","0","-6.058932E-05","7.9890013","0","1","4.7870936","9","5.199978"
"5239978","24.872297","2.1103952","0.43910936","2.1146233","0","-0.046299975","7.9168105","-0","1","5.7118855","9","5.239978"
"5279978","23.61493","3.5538664","0.3985065","1.9190916","0","-0.079881184","7.6959586","-0","1","6.626358","9","5.279978"
"5319978","22.298624","5.2471075","0.3479111","1.6754389","0","-0.10156891","7.387849","-0","1","7.510161","9","5.319978"
"5359978","21.001965","7.0447116","0.29260436","1.4090977","0","-0.11213765","7.032381","-0","1","8.334043","9","5.359978"
"5399978","19.744598","8.801578","0.23684883","1.1405953","0","-0.11389005","6.6599636","-0","1","9.049626","9","5.399978"
"5439978","18.565815","10.393838","0.18428186","0.88744795","0","-0.108020425","6.2887106","-0","1","9.663315","9","5.439978"
"5479978","17.465618","11.729149","0.13707684","0.66012233","0","-0.09752126","5.92532","-0","1","10.184911","9","5.479978"
"5519978","16.4833","12.749345","0.09722693","0.4682167","0","-0.08289378","5.5851436","-0","1","10.623376","9","5.519978"
"5559978","15.599215","13.428993","0.06554839","0.31566203","0","-0.06650508","5.273094","-0","1","10.9869","9","5.559978"
"5599978","14.793713","13.773402","0.04171768","0.20090024","0","-0.05033859","4.986647","-0","1","11.282965","9","5.599978"
"5639978","14.066797","13.812964","0.025235832","0.12152844","0","-0.035188105","4.726103","-0","1","11.518401","9","5.639978"
"5679978","13.398821","13.594283","0.014921904","0.07185956","0","-0.02230819","4.4873934","-0","1","11.699445","9","5.679978"
"5719978","12.75049","13.173107","0.009471878","0.045613818","0","-0.012180762","4.2659163","-0","1","11.825406","9","5.719978"
"5759978","12.1611","12.608769","0.007950351","0.03828658","0","-0.004319775","4.0614133","-0","1","11.900181","9","5.759978"
"5799978","11.591355","11.960477","0.008451402","0.0406995","0","0.0004462592","3.8676448","-0","1","11.929419","9","5.799978"
