Time_s,Axis,StateValue,State,Surface_deg,P_slew,D_slew,FF_single,FF,P,I,D,ActionValue,Action,RMAX,TAU
73.579833,roll,1,DEMAND_POS,5.81670904159546,1,96.716552734375,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.619833,roll,1,DEMAND_POS,5.1307373046875,1,96.716552734375,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.659833,roll,1,DEMAND_POS,4.52209663391113,1,96.716552734375,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.699833,roll,1,DEMAND_POS,4.20092391967773,1,97.6556777954102,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.739833,roll,1,DEMAND_POS,4.22785663604736,1,100.381423950195,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.779833,roll,1,DEMAND_POS,4.52555227279663,1,102.596618652344,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.819833,roll,1,DEMAND_POS,4.9341287612915,1,104.353057861328,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.859833,roll,1,DEMAND_POS,5.28387594223022,1,105.61141204834,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.899833,roll,1,DEMAND_POS,5.4586329460144,1,106.397308349609,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.939833,roll,1,DEMAND_POS,5.42191362380981,1,106.762573242188,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
73.979833,roll,1,DEMAND_POS,5.20580768585205,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.019833,roll,1,DEMAND_POS,4.88737201690674,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.059833,roll,1,DEMAND_POS,4.56018209457397,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.099833,roll,1,DEMAND_POS,4.29019069671631,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.139833,roll,1,DEMAND_POS,4.10814237594604,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.179833,roll,1,DEMAND_POS,4.00601625442505,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.219833,roll,1,DEMAND_POS,3.94960808753967,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.259833,roll,1,DEMAND_POS,3.89918828010559,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.299833,roll,1,DEMAND_POS,3.81692671775818,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.339833,roll,1,DEMAND_POS,3.68398571014404,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.379833,roll,1,DEMAND_POS,3.49814343452454,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.419833,roll,1,DEMAND_POS,3.27154731750488,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.459833,roll,1,DEMAND_POS,3.03388690948486,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
74.499833,roll,1,DEMAND_POS,2.81236743927002,1,106.802391052246,0.756483852863312,0.677358090877533,0.0147087499499321,0.0147087499499321,0.157339051365852,6,RAISE_D,30,0.899999976158142
